idade,escolaridade,estado_civil,regiao,num_dependentes,tipo_contrato,anos_emprego,renda_mensal,valor_emprestimo,prazo_meses,taxa_juros_mensal,historico_pagamentos,score_credito,inadimplente
43,Médio,Solteiro,Sudeste,2,Autônomo,5.2,3532.89,46000.0,36,2.22,Ruim,443,1
36,Médio,Solteiro,Sudeste,1,Autônomo,2.1,2600.88,15100.0,48,2.68,Regular,523,0
45,Médio,Divorciado,Sudeste,1,Servidor Público,4.9,3497.61,18600.0,36,0.96,Excelente,723,0
54,Médio,Casado,Sudeste,0,Servidor Público,1.4,2579.22,19600.0,36,0.82,Regular,553,1
35,Médio,Casado,Sul,0,Empresário,0.6,3906.41,17700.0,24,2.87,Regular,547,1
35,Superior,Solteiro,Nordeste,0,Servidor Público,0.6,6648.33,43500.0,72,0.92,Bom,673,0
55,Superior,Casado,Nordeste,2,Autônomo,0.9,2052.63,8800.0,36,4.36,Regular,530,0
46,Superior,Divorciado,Nordeste,3,CLT,0.5,7210.0,65100.0,24,2.25,Excelente,659,0
32,Médio,Casado,Sudeste,0,Autônomo,1.0,1320.0,18000.0,60,4.3,Regular,484,0
43,Fundamental,Viúvo,Sudeste,0,Servidor Público,3.5,1724.85,12600.0,12,1.34,Bom,576,0
32,Médio,Divorciado,Sudeste,4,CLT,1.2,1917.05,5900.0,48,2.37,Excelente,590,0
32,Pós-graduação,Solteiro,Sul,2,CLT,1.7,5993.67,68100.0,60,1.35,Regular,573,0
40,Superior,Solteiro,Sudeste,3,CLT,0.2,6390.96,85500.0,24,1.2,Regular,559,0
18,Superior,Divorciado,Sul,0,Empresário,8.9,5400.36,47900.0,24,2.99,Excelente,762,0
19,Fundamental,Casado,Sul,2,Servidor Público,0.6,1320.0,9800.0,24,1.44,Excelente,696,0
31,Médio,Solteiro,Nordeste,2,CLT,1.7,4341.84,45000.0,84,1.4,Bom,603,1
26,Fundamental,Solteiro,Sul,0,CLT,1.9,1677.87,7600.0,60,1.58,Bom,586,0
41,Superior,Casado,Norte,0,Autônomo,5.9,9110.71,115300.0,36,3.15,Regular,624,0
28,Pós-graduação,Casado,Sudeste,0,Autônomo,2.6,5123.09,71700.0,36,3.02,Bom,678,0
22,Pós-graduação,Solteiro,Norte,0,CLT,1.9,6116.25,83000.0,48,2.02,Regular,553,0
54,Médio,Solteiro,Sul,4,Empresário,4.8,1915.03,15200.0,48,2.07,Bom,641,1
35,Médio,Divorciado,Centro-Oeste,1,Autônomo,3.6,3510.34,54900.0,36,2.08,Excelente,691,0
38,Pós-graduação,Casado,Sudeste,2,Autônomo,0.3,13532.19,150000.0,12,2.02,Regular,632,0
22,Superior,Casado,Nordeste,2,Servidor Público,1.5,8322.21,62100.0,60,1.04,Ruim,476,1
32,Fundamental,Casado,Sudeste,1,CLT,15.4,1796.35,12500.0,72,1.97,Bom,653,0
39,Médio,Casado,Sudeste,2,Autônomo,2.6,3949.94,53600.0,24,4.04,Regular,560,0
25,Médio,Casado,Nordeste,0,Autônomo,2.2,3336.87,45500.0,12,3.29,Regular,440,1
42,Médio,Casado,Sudeste,1,Empresário,0.6,1320.0,14100.0,24,2.8,Bom,576,0
31,Médio,Solteiro,Sul,4,CLT,7.3,1685.01,28400.0,36,2.29,Excelente,687,1
34,Superior,Casado,Sudeste,0,Servidor Público,0.6,6578.19,34200.0,36,0.86,Regular,525,0
31,Médio,Casado,Centro-Oeste,1,Autônomo,0.4,2555.7,26000.0,12,2.64,Regular,497,0
58,Médio,Viúvo,Sudeste,2,Servidor Público,2.3,2472.72,8700.0,48,1.15,Regular,501,0
37,Médio,Solteiro,Sudeste,2,Servidor Público,2.3,1817.24,6900.0,24,0.88,Regular,500,0
